_class,Username,page,timestamp,videoId,round,component,componentValue,userId
de.tum.rs.dao.Interaction,Doraemon,Profile,1714238493118,,6,Topic Preferences: Sliders,Virtual Reality,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714238496502,,6,Topic Preferences: Sliders,Smart Home Gadgets,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714238499674,,6,Topic Preferences: Sliders,TikTok Trends,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714238501455,,6,Topic Preferences: Sliders,Gaming,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714238504188,,6,Topic Preferences: Sliders,Comedy Standup,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Profile,1714238506011,,6,Topic Preferences: Sliders,Funny Moments,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238645196,OnXgX4keLBI,6,Dislike button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238650907,3gYkbEaZZUo,6,Tour,Finish,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238652996,3gYkbEaZZUo,6,Video: Info button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238656629,3gYkbEaZZUo,6,Info Button: Explaination,open,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238658584,3gYkbEaZZUo,6,Info Button: Explaination,close,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238661320,3gYkbEaZZUo,6,Dislike button,,Doraemon
de.tum.rs.dao.Interaction,Doraemon,Video,1714238666209,iCpNaHpLUJM,6,Dislike button,,Doraemon
